# order  current_ratio  build_time_s
   1   1.0000000000E+00   3.1821500000E-01
   2   8.4145343687E-01   1.3340169416E+04
   3   4.7739095737E-01   1.3306316301E+04
   4   2.2620440313E-01   1.3266629863E+04
   5   1.6343462678E-01   1.3278707617E+04
   6   1.2681508764E-01   1.3319554548E+04
   7   1.0853267933E-01   1.3235116747E+04
   8   9.1221516785E-02   1.3269239397E+04
   9   8.1969720928E-02   1.3257584553E+04
  10   7.4088644361E-02   1.3301494373E+04
  11   6.5868996050E-02   1.3376255539E+04
  12   5.8434773258E-02   1.3269838656E+04
  13   5.1813479387E-02   1.3267047546E+04
  14   4.4803484540E-02   1.3247122433E+04
  15   3.9508117540E-02   1.3284388993E+04
