file,kind,npts,nx,ny_or_nz,const_y_or_z_m,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m,e2_max_all,e2_max_all_x_m,e2_max_all_y_m,e2_max_all_z_m,e2_max_internal,e2_max_internal_x_m,e2_max_internal_y_m,e2_max_internal_z_m,e2_min_positive
field_map_xy_z001.bin,XY,160801,401,401,2.200000000000e+00,-1.890000000000e-01,1.890000000000e-01,-1.890000000000e-01,1.890000000000e-01,2.200000000000e+00,2.200000000000e+00,1.432494831451e-01,-6.804000000000e-02,-3.024000000000e-02,2.200000000000e+00,nan,nan,nan,nan,2.061250306281e-05
field_map_xy_z002.bin,XY,160801,401,401,2.222857142857e+00,-1.662000000000e-01,1.662000000000e-01,-1.662000000000e-01,1.662000000000e-01,2.222857142857e+00,2.222857142857e+00,1.922401330847e+01,5.733900000000e-02,-1.346220000000e-01,2.222857142857e+00,nan,nan,nan,nan,2.547339061363e-06
field_map_xy_z003.bin,XY,160801,401,401,2.245714285714e+00,-1.434000000000e-01,1.434000000000e-01,-1.434000000000e-01,1.434000000000e-01,2.245714285714e+00,2.245714285714e+00,2.439384617155e+02,1.154370000000e-01,4.660500000000e-02,2.245714285714e+00,nan,nan,nan,nan,2.425663397887e-06
field_map_xy_z004.bin,XY,160801,401,401,2.268571428571e+00,-1.206000000000e-01,1.206000000000e-01,-1.206000000000e-01,1.206000000000e-01,2.268571428571e+00,2.268571428571e+00,2.773946574218e+01,-1.043190000000e-01,4.462200000000e-02,2.268571428571e+00,nan,nan,nan,nan,8.091040180149e-06
field_map_xy_z005.bin,XY,160801,401,401,2.291428571429e+00,-9.780000000000e-02,9.780000000000e-02,-9.780000000000e-02,9.780000000000e-02,2.291428571429e+00,2.291428571429e+00,2.652991158531e+01,3.178500000000e-02,-7.970700000000e-02,2.291428571429e+00,nan,nan,nan,nan,1.265774974302e-05
field_map_xy_z006.bin,XY,160801,401,401,2.314285714286e+00,-7.500000000000e-02,7.500000000000e-02,-7.500000000000e-02,7.500000000000e-02,2.314285714286e+00,2.314285714286e+00,1.829616257045e+03,5.662500000000e-02,-3.225000000000e-02,2.314285714286e+00,nan,nan,nan,nan,4.566340581813e-05
field_map_xy_z007.bin,XY,160801,401,401,2.337142857143e+00,-5.220000000000e-02,5.220000000000e-02,-5.220000000000e-02,5.220000000000e-02,2.337142857143e+00,2.337142857143e+00,1.419767901400e+03,-2.871000000000e-03,4.698000000000e-02,2.337142857143e+00,nan,nan,nan,nan,7.669943062671e-05
field_map_xy_z008.bin,XY,160801,401,401,2.360000000000e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.360000000000e+00,2.360000000000e+00,5.460304149902e+01,2.734200000000e-02,6.027000000000e-03,2.360000000000e+00,nan,nan,nan,nan,3.485559757277e-04
field_map_xy_z009.bin,XY,160801,401,401,2.376666666667e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.376666666667e+00,2.376666666667e+00,2.154416336632e+01,-2.543100000000e-02,1.176000000000e-02,2.376666666667e+00,nan,nan,nan,nan,8.741614827577e-04
field_map_xy_z010.bin,XY,160801,401,401,2.393333333333e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.393333333333e+00,2.393333333333e+00,2.787549467786e+01,-2.763600000000e-02,-4.410000000000e-03,2.393333333333e+00,nan,nan,nan,nan,1.699620892240e-04
field_map_xy_z011.bin,XY,160801,401,401,2.410000000000e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.410000000000e+00,2.410000000000e+00,2.545815978758e+01,2.778300000000e-02,2.793000000000e-03,2.410000000000e+00,nan,nan,nan,nan,4.833271260319e-04
field_map_xz.bin,XZ,200000,400,500,0.000000000000e+00,-1.890000000000e-01,1.890000000000e-01,0.000000000000e+00,0.000000000000e+00,2.200000000000e+00,2.424000000000e+00,1.655483428875e+03,-2.794736842105e-02,0.000000000000e+00,2.391230460922e+00,nan,nan,nan,nan,4.983021437096e-06
