# order  current_ratio  build_time_s
   1   1.0000000000E+00   3.3207300000E-01
   2   8.4851631026E-01   1.3199475304E+04
   3   2.8468492673E-01   1.3301072581E+04
   4   1.9303912588E-01   1.3323281568E+04
   5   1.5810449412E-01   1.3338435761E+04
   6   1.2332590954E-01   1.3349227344E+04
   7   1.0907455223E-01   1.3342881576E+04
   8   9.2086479999E-02   1.3331250717E+04
   9   8.0891789836E-02   1.3404100140E+04
  10   7.3497637566E-02   1.3421137101E+04
  11   6.5844686622E-02   1.3355637543E+04
  12   5.9623530854E-02   1.3367793437E+04
  13   5.2938842509E-02   1.3411964520E+04
  14   4.6558309674E-02   1.3404105523E+04
  15   4.1053088552E-02   1.3436813876E+04
